IMPACT	Accession	TF	Tissue	Cell
213	GSM1207893	E2F1	PROSTATE	LNCAP
213	GSM1207894	E2F1	PROSTATE	LNCAP
213	GSM1207897	E2F1	PROSTATE	LNCAP
213	GSM1207898	E2F1	PROSTATE	LNCAP
213	GSM1207901	E2F1	PROSTATE	LNCAP
213	GSM1207902	E2F1	PROSTATE	LNCAP
213	GSM1207905	E2F1	PROSTATE	LNCAP
213	GSM1207906	E2F1	PROSTATE	LNCAP
213	GSM1207909	E2F1	PROSTATE	LNCAP
213	GSM1207910	E2F1	PROSTATE	LNCAP
213	GSM1207913	E2F1	PROSTATE	LNCAP
213	GSM1207914	E2F1	PROSTATE	LNCAP
213	GSM1207916	E2F1	PROSTATE	LNCAP
213	GSM1207917	E2F1	PROSTATE	LNCAP
214	GSM1218849	MYOD1	MUSCULOSKELETAL	Myoblasts
215	GSM1218850	MYOD1	MUSCULOSKELETAL	Myotube
216	GSM1218851	MYOD1	MUSCULOSKELETAL	RD
217	GSM1227204	STAT3	BLOOD	OCI-LY-10
218	GSM1227205	STAT3	BLOOD	OCI-LY-19
219	GSM1227206	STAT3	BLOOD	OCI-LY-3
220	GSM1227207	STAT3	BLOOD	OCI-LY-7
221	GSM1227208	STAT3	BLOOD	SU-DHL-10
222	GSM1227209	STAT3	BLOOD	SU-DHL-2
223	GSM1227210	STAT3	BLOOD	SU-DHL-4
224	GSM1227211	STAT3	BLOOD	SU-DHL-6
225	GSM1227212	STAT3	BLOOD	U-2932
226	GSM1235008	ESR1	BREAST	MDA-MB-134-VI
226	GSM1235010	ESR1	BREAST	MDA-MB-134-VI
227	GSM1233869	CTCF	BLOOD	GM10847
227	GSM1233870	CTCF	BLOOD	GM10847
227	GSM1233871	CTCF	BLOOD	GM10847
228	GSM1233887	CTCF	BLOOD	GM12878
228	GSM1233888	CTCF	BLOOD	GM12878
228	GSM646314	CTCF	BLOOD	GM12878
228	GSM646315	CTCF	BLOOD	GM12878
228	GSM733752	CTCF	BLOOD	GM12878
228	GSM822312	CTCF	BLOOD	GM12878
228	GSM749704	CTCF	BLOOD	GM12878
228	GSM749706	CTCF	BLOOD	GM12878
228	GSM935611	CTCF	BLOOD	GM12878
229	GSM1233914	CTCF	BLOOD	Lymphoblastoid cell line
229	GSM1233915	CTCF	BLOOD	Lymphoblastoid cell line
229	GSM1233916	CTCF	BLOOD	Lymphoblastoid cell line
229	GSM1233977	CTCF	BLOOD	Lymphoblastoid cell line
229	GSM1233978	CTCF	BLOOD	Lymphoblastoid cell line
229	GSM1233979	CTCF	BLOOD	Lymphoblastoid cell line
229	GSM1234144	CTCF	BLOOD	Lymphoblastoid cell line
229	GSM1234145	CTCF	BLOOD	Lymphoblastoid cell line
229	GSM1234146	CTCF	BLOOD	Lymphoblastoid cell line
229	GSM1234162	CTCF	BLOOD	Lymphoblastoid cell line
229	GSM1234163	CTCF	BLOOD	Lymphoblastoid cell line
229	GSM1234164	CTCF	BLOOD	Lymphoblastoid cell line
229	GSM1234180	CTCF	BLOOD	Lymphoblastoid cell line
229	GSM1234181	CTCF	BLOOD	Lymphoblastoid cell line
229	GSM1234182	CTCF	BLOOD	Lymphoblastoid cell line
229	GSM1234198	CTCF	BLOOD	Lymphoblastoid cell line
229	GSM1234199	CTCF	BLOOD	Lymphoblastoid cell line
229	GSM1234200	CTCF	BLOOD	Lymphoblastoid cell line
230	GSM1233933	CTCF	BLOOD	GM12891
230	GSM1233934	CTCF	BLOOD	GM12891
231	GSM1233955	CTCF	BLOOD	GM12892
231	GSM1233956	CTCF	BLOOD	GM12892
232	GSM1233993	CTCF	BLOOD	GM18505
232	GSM1233994	CTCF	BLOOD	GM18505
233	GSM1234010	CTCF	BLOOD	GM18526
233	GSM1234011	CTCF	BLOOD	GM18526
234	GSM1234027	CTCF	BLOOD	GM18951
234	GSM1234028	CTCF	BLOOD	GM18951
235	GSM1234044	CTCF	BLOOD	GM19099
235	GSM1234045	CTCF	BLOOD	GM19099
236	GSM1234061	CTCF	BLOOD	GM19193
236	GSM1234062	CTCF	BLOOD	GM19193
237	GSM1234078	CTCF	BLOOD	GM19238
237	GSM1234079	CTCF	BLOOD	GM19238
238	GSM1234099	CTCF	BLOOD	GM19239
238	GSM1234100	CTCF	BLOOD	GM19239
239	GSM1234121	CTCF	BLOOD	GM19240
239	GSM1234122	CTCF	BLOOD	GM19240
240	GSM1234216	CTCF	BLOOD	MS1
240	GSM1234217	CTCF	BLOOD	MS1
240	GSM1234218	CTCF	BLOOD	MS1
240	GSM1234219	CTCF	BLOOD	MS1
241	GSM1239390	CTCF	GI	LoVo
241	GSM1239427	CTCF	GI	LoVo
241	GSM1239559	CTCF	GI	LoVo
241	GSM1239588	CTCF	GI	LoVo
242	GSM1239395	FOXA2	GI	LoVo
243	GSM1239432	MAFG	GI	LoVo
244	GSM1239450	CREB1	GI	LoVo
245	GSM1239452	E2F3	GI	LoVo
246	GSM1239454	ETV5	GI	LoVo
247	GSM1239455	GLI2	GI	LoVo
248	GSM1239465	IRF1	GI	LoVo
249	GSM1239467	JUN	GI	LoVo
250	GSM1239478	NFYA	GI	LoVo
251	GSM1239487	SOX9	GI	LoVo
252	GSM1239492	BARX1	GI	LoVo
253	GSM1239493	BCL6	GI	LoVo
254	GSM1239498	E2F8	GI	LoVo
255	GSM1239502	GMEB2	GI	LoVo
256	GSM1239510	JUNB	GI	LoVo
257	GSM1239523	SOX2	GI	LoVo
258	GSM1239667	XBP1	BREAST	T-47D
258	GSM1276191	XBP1	BREAST	T-47D
259	GSM1276192	XBP1	BREAST	Hs 578T
260	GSM1240813	CTCF	GI	GP5d
260	GSM1240827	CTCF	GI	GP5d
261	GSM1240815	HNF4A	GI	GP5d
261	GSM1240829	HNF4A	GI	GP5d
262	GSM1240819	JUND	GI	GP5d
262	GSM1240833	JUND	GI	GP5d
263	GSM1240820	KLF5	GI	GP5d
263	GSM1240834	KLF5	GI	GP5d
264	GSM1240821	MYC	GI	GP5d
264	GSM1240835	MYC	GI	GP5d
265	GSM1240824	REST	GI	GP5d
265	GSM1240838	REST	GI	GP5d
266	GSM1240825	RFX2	GI	GP5d
266	GSM1240839	RFX2	GI	GP5d
267	GSM1241754	GATA3	BREAST	T-47D
267	GSM1241758	GATA3	BREAST	T-47D
268	GSM1242266	HNF4A	GI	LoVo
268	GSM1242272	HNF4A	GI	LoVo
269	GSM1242268	KLF5	GI	LoVo
269	GSM1242274	KLF5	GI	LoVo
270	GSM1242269	MYC	GI	LoVo
270	GSM1242275	MYC	GI	LoVo
271	GSM1246713	SMAD3	LUNG	NCI-H441
271	GSM1246714	SMAD3	LUNG	NCI-H441
272	GSM1246718	SMAD4	LUNG	NCI-H441
272	GSM1246719	SMAD4	LUNG	NCI-H441
273	GSM1246721	SMAD3	LUNG	A549
274	GSM1250891	KLF5	GI	YCC-3
275	GSM1250892	GATA4	GI	YCC-3
276	GSM1250893	GATA6	GI	YCC-3
277	GSM1250895	KLF5	GI	AGS
278	GSM1250896	GATA4	GI	AGS
279	GSM1250897	GATA6	GI	AGS
279	GSM1255511	GATA6	GI	AGS
280	GSM1250899	KLF5	GI	KATO III
281	GSM1250900	GATA4	GI	KATO III
282	GSM1250901	GATA6	GI	KATO III
283	GSM1255513	GATA6	GI	HuG1-N
284	GSM1266815	TEAD4	STEMCELL	hESC WA09
284	GSM1266816	TEAD4	STEMCELL	hESC WA09
285	GSM1273199	CTCF	BLOOD	Erythroblasts
286	GSM1275921	MIXL1	BLOOD	U-937
286	GSM1275922	MIXL1	BLOOD	U-937
287	GSM1278242	GFI1B	BLOOD	CD34+
288	GSM1290146	REST	BLOOD	GM12878
288	GSM1290147	REST	BLOOD	GM12878
288	GSM1290148	REST	BLOOD	GM12878
288	GSM1290149	REST	BLOOD	GM12878
288	GSM1290150	REST	BLOOD	GM12878
288	GSM1290151	REST	BLOOD	GM12878
288	GSM1290152	REST	BLOOD	GM12878
288	GSM1290153	REST	BLOOD	GM12878
288	GSM1290154	REST	BLOOD	GM12878
288	GSM1290155	REST	BLOOD	GM12878
288	GSM1290156	REST	BLOOD	GM12878
288	GSM1290157	REST	BLOOD	GM12878
288	GSM1333959	REST	BLOOD	GM12878
288	GSM1333985	REST	BLOOD	GM12878
288	GSM1333986	REST	BLOOD	GM12878
288	GSM1333987	REST	BLOOD	GM12878
288	GSM1333988	REST	BLOOD	GM12878
288	GSM1333989	REST	BLOOD	GM12878
288	GSM1333990	REST	BLOOD	GM12878
288	GSM1333991	REST	BLOOD	GM12878
288	GSM1333992	REST	BLOOD	GM12878
288	GSM1333993	REST	BLOOD	GM12878
288	GSM1333994	REST	BLOOD	GM12878
288	GSM1333995	REST	BLOOD	GM12878
288	GSM1333996	REST	BLOOD	GM12878
288	GSM1333997	REST	BLOOD	GM12878
288	GSM1333998	REST	BLOOD	GM12878
288	GSM1333999	REST	BLOOD	GM12878
288	GSM1334000	REST	BLOOD	GM12878
288	GSM1010744	REST	BLOOD	GM12878
288	GSM803349	REST	BLOOD	GM12878
289	GSM1290158	REST	BLOOD	Jurkat
289	GSM1290159	REST	BLOOD	Jurkat
289	GSM1290160	REST	BLOOD	Jurkat
289	GSM1290161	REST	BLOOD	Jurkat
289	GSM1290162	REST	BLOOD	Jurkat
289	GSM1290163	REST	BLOOD	Jurkat
289	GSM1290164	REST	BLOOD	Jurkat
289	GSM1290165	REST	BLOOD	Jurkat
289	GSM1290166	REST	BLOOD	Jurkat
289	GSM1290167	REST	BLOOD	Jurkat
289	GSM1290168	REST	BLOOD	Jurkat
289	GSM1290169	REST	BLOOD	Jurkat
289	GSM1290170	REST	BLOOD	Jurkat
289	GSM1290171	REST	BLOOD	Jurkat
289	GSM1290172	REST	BLOOD	Jurkat
290	GSM1333955	GABPA	BLOOD	GM12878
290	GSM1333969	GABPA	BLOOD	GM12878
290	GSM1333970	GABPA	BLOOD	GM12878
290	GSM1333971	GABPA	BLOOD	GM12878
290	GSM1333972	GABPA	BLOOD	GM12878
290	GSM803356	GABPA	BLOOD	GM12878
291	GSM1333967	SPI1	BLOOD	GM12878
291	GSM1334005	SPI1	BLOOD	GM12878
291	GSM1334006	SPI1	BLOOD	GM12878
291	GSM1334007	SPI1	BLOOD	GM12878
291	GSM1334008	SPI1	BLOOD	GM12878
291	GSM803531	SPI1	BLOOD	GM12878
292	GSM1316337	PDX1	STEMCELL	hESC derived mesendodermal cells
292	GSM1416931	PDX1	STEMCELL	hESC derived mesendodermal cells
293	GSM1551464	FOXA1	STEMCELL	hESC derived mesendodermal cells
293	GSM1551465	FOXA1	STEMCELL	hESC derived mesendodermal cells
293	GSM1551466	FOXA1	STEMCELL	hESC derived mesendodermal cells
293	GSM1551467	FOXA1	STEMCELL	hESC derived mesendodermal cells
293	GSM1505632	FOXA1	STEMCELL	hESC derived mesendodermal cells
293	GSM1505634	FOXA1	STEMCELL	hESC derived mesendodermal cells
293	GSM1505635	FOXA1	STEMCELL	hESC derived mesendodermal cells
293	GSM1505636	FOXA1	STEMCELL	hESC derived mesendodermal cells
294	GSM1551468	FOXA2	STEMCELL	hESC derived mesendodermal cells
294	GSM1551469	FOXA2	STEMCELL	hESC derived mesendodermal cells
294	GSM1551470	FOXA2	STEMCELL	hESC derived mesendodermal cells
294	GSM1551471	FOXA2	STEMCELL	hESC derived mesendodermal cells
294	GSM1505637	FOXA2	STEMCELL	hESC derived mesendodermal cells
294	GSM1505638	FOXA2	STEMCELL	hESC derived mesendodermal cells
294	GSM1505639	FOXA2	STEMCELL	hESC derived mesendodermal cells
294	GSM1505641	FOXA2	STEMCELL	hESC derived mesendodermal cells
295	GSM1323573	NR2C2	BLOOD	Erythroblasts
295	GSM1323574	NR2C2	BLOOD	Erythroblasts
295	GSM1323575	NR2C2	BLOOD	Erythroblasts
296	GSM1335528	CTCF	BLOOD	THP-1
297	GSM1336145	SNAI2	SKIN	Keratinocytes
297	GSM1336146	SNAI2	SKIN	Keratinocytes
297	GSM1336147	SNAI2	SKIN	Keratinocytes
297	GSM1336148	SNAI2	SKIN	Keratinocytes
297	GSM1336151	SNAI2	SKIN	Keratinocytes
297	GSM1336152	SNAI2	SKIN	Keratinocytes
297	GSM1336153	SNAI2	SKIN	Keratinocytes
297	GSM1336154	SNAI2	SKIN	Keratinocytes
297	GSM1336155	SNAI2	SKIN	Keratinocytes
297	GSM1336156	SNAI2	SKIN	Keratinocytes
297	GSM1336157	SNAI2	SKIN	Keratinocytes
297	GSM1336158	SNAI2	SKIN	Keratinocytes
298	GSM1354438	CTCF	LUNG	BEAS-2B
298	GSM1354439	CTCF	LUNG	BEAS-2B
299	GSM1354836	FOXA1	PROSTATE	VCaP
299	GSM1354837	FOXA1	PROSTATE	VCaP
299	GSM1354838	FOXA1	PROSTATE	VCaP
299	GSM1354839	FOXA1	PROSTATE	VCaP
299	GSM1463461	FOXA1	PROSTATE	VCaP
299	GSM1463462	FOXA1	PROSTATE	VCaP
299	GSM1463463	FOXA1	PROSTATE	VCaP
299	GSM1463464	FOXA1	PROSTATE	VCaP
299	GSM1410775	FOXA1	PROSTATE	VCaP
299	GSM1410776	FOXA1	PROSTATE	VCaP
300	GSM1370274	IRF4	BLOOD	OCI-LY-3
300	GSM1370287	IRF4	BLOOD	OCI-LY-3
300	GSM1370291	IRF4	BLOOD	OCI-LY-3
301	GSM1370275	SPI1	BLOOD	OCI-LY-3
301	GSM1370288	SPI1	BLOOD	OCI-LY-3
301	GSM1370292	SPI1	BLOOD	OCI-LY-3
302	GSM1370279	IRF4	BLOOD	OCI-LY-10
303	GSM1370280	SPI1	BLOOD	OCI-LY-10
304	GSM1370283	IRF4	BLOOD	NCI-H929
305	GSM1370284	SPI1	BLOOD	NCI-H929
306	GSM1377533	NR1H4	LIVER	Hepatocytes
306	GSM1377535	NR1H4	LIVER	Hepatocytes
307	GSM1382049	HSF1	GI	HCT 116
307	GSM1382050	HSF1	GI	HCT 116
307	GSM1382052	HSF1	GI	HCT 116
307	GSM1382054	HSF1	GI	HCT 116
307	GSM1382055	HSF1	GI	HCT 116
307	GSM1382057	HSF1	GI	HCT 116
308	GSM1383877	CTCF	PROSTATE	PC-3
309	GSM1410770	FOXP1	PROSTATE	VCaP
310	GSM1410771	RUNX1	PROSTATE	VCaP
311	GSM1421017	SPI1	BLOOD	Monocyte-derived Dendritic Cells
311	GSM1421019	SPI1	BLOOD	Monocyte-derived Dendritic Cells
312	GSM1424526	ETS1	PROSTATE	DU 145
313	GSM1424527	ELF1	PROSTATE	DU 145
314	GSM1424528	ELK4	PROSTATE	DU 145
315	GSM1424529	GABPA	PROSTATE	DU 145
316	GSM1424530	JUND	PROSTATE	DU 145
317	GSM1424531	ETS1	PANCREAS	PANC-1
318	GSM1430922	MYC	GI	LS-174T
318	GSM1430925	MYC	GI	LS-174T
319	GSM1438986	BCL6	BLOOD	ICN12
320	GSM1438989	PBX1	BLOOD	ICN12
321	GSM1442005	MYB	BLOOD	Jurkat
321	GSM1442006	MYB	BLOOD	Jurkat
321	GSM1519635	MYB	BLOOD	Jurkat
321	GSM1519639	MYB	BLOOD	Jurkat
321	GSM1519641	MYB	BLOOD	Jurkat
322	GSM1519643	MYB	BLOOD	T-ALL
323	GSM1443809	PPARG	ADIPOCYTE	Adipose-Derived Mesenchymal Stem Cells
323	GSM1443810	PPARG	ADIPOCYTE	Adipose-Derived Mesenchymal Stem Cells
323	GSM1443811	PPARG	ADIPOCYTE	Adipose-Derived Mesenchymal Stem Cells
323	GSM1443812	PPARG	ADIPOCYTE	Adipose-Derived Mesenchymal Stem Cells
324	GSM1462461	BCL6	BLOOD	CD4-Positive T-Lymphocytes
324	GSM1589798	BCL6	BLOOD	CD4-Positive T-Lymphocytes
325	GSM1462475	HIF1A	BREAST	T-47D
326	GSM1462478	NRF1	BREAST	T-47D
327	GSM1463918	CTCF	EYE	HRPEpiC
327	GSM1022665	CTCF	EYE	HRPEpiC
327	GSM749673	CTCF	EYE	HRPEpiC
328	GSM1463919	E2F4	EYE	HRPEpiC
329	GSM1567046	OTX2	EYE	HRPEpiC
330	GSM1567047	MITF	EYE	HRPEpiC
331	GSM1567048	PAX6	EYE	HRPEpiC
332	GSM1567049	LHX2	EYE	HRPEpiC
333	GSM1466691	ELK3	VASCULAR	HUVEC
334	GSM1477597	PROX1	GI	SW 480
335	GSM1505615	PRDM1	STEMCELL	hESC derived mesendodermal cells
335	GSM1505616	PRDM1	STEMCELL	hESC derived mesendodermal cells
335	GSM1505618	PRDM1	STEMCELL	hESC derived mesendodermal cells
336	GSM1505617	PRDM1	STEMCELL	hESC HUES64
337	GSM1505619	CDX2	STEMCELL	hESC derived mesendodermal cells
338	GSM1505620	CTCF	STEMCELL	hESC HUES64
338	GSM1505621	CTCF	STEMCELL	hESC HUES64
338	GSM1505622	CTCF	STEMCELL	hESC HUES64
339	GSM1505623	CTCF	STEMCELL	hESC derived mesendodermal cells
339	GSM1505624	CTCF	STEMCELL	hESC derived mesendodermal cells
339	GSM1505625	CTCF	STEMCELL	hESC derived mesendodermal cells
340	GSM1505626	CTCF	STEMCELL	hESC derived ectodermal cells
341	GSM1505627	EOMES	STEMCELL	hESC HUES64
342	GSM1505633	FOXA1	STEMCELL	hESC HUES64
343	GSM1505640	FOXA2	STEMCELL	hESC HUES64
344	GSM1505642	GATA4	STEMCELL	hESC HUES64
345	GSM1505643	GATA4	STEMCELL	hESC derived mesendodermal cells
345	GSM1505644	GATA4	STEMCELL	hESC derived mesendodermal cells
345	GSM1505645	GATA4	STEMCELL	hESC derived mesendodermal cells
345	GSM1505646	GATA4	STEMCELL	hESC derived mesendodermal cells
345	GSM1505647	GATA4	STEMCELL	hESC derived mesendodermal cells
345	GSM1505648	GATA4	STEMCELL	hESC derived mesendodermal cells
345	GSM1505649	GATA4	STEMCELL	hESC derived mesendodermal cells
345	GSM1505650	GATA4	STEMCELL	hESC derived mesendodermal cells
345	GSM1505651	GATA4	STEMCELL	hESC derived mesendodermal cells
345	GSM1505652	GATA4	STEMCELL	hESC derived mesendodermal cells
345	GSM1505653	GATA4	STEMCELL	hESC derived mesendodermal cells
345	GSM1505654	GATA4	STEMCELL	hESC derived mesendodermal cells
345	GSM1505655	GATA4	STEMCELL	hESC derived mesendodermal cells
345	GSM1505656	GATA4	STEMCELL	hESC derived mesendodermal cells
345	GSM1505657	GATA4	STEMCELL	hESC derived mesendodermal cells
346	GSM1505658	GATA6	STEMCELL	hESC derived mesendodermal cells
346	GSM1505660	GATA6	STEMCELL	hESC derived mesendodermal cells
346	GSM1505661	GATA6	STEMCELL	hESC derived mesendodermal cells
346	GSM1505662	GATA6	STEMCELL	hESC derived mesendodermal cells
346	GSM1505663	GATA6	STEMCELL	hESC derived mesendodermal cells
346	GSM1505664	GATA6	STEMCELL	hESC derived mesendodermal cells
347	GSM1505659	GATA6	STEMCELL	hESC HUES64
348	GSM1505679	HEY1	STEMCELL	hESC derived mesendodermal cells
349	GSM1505680	HNF1B	STEMCELL	hESC derived mesendodermal cells
349	GSM1505682	HNF1B	STEMCELL	hESC derived mesendodermal cells
349	GSM1505683	HNF1B	STEMCELL	hESC derived mesendodermal cells
350	GSM1505681	HNF1B	STEMCELL	hESC HUES64
351	GSM1505684	HNF4A	STEMCELL	hESC derived mesendodermal cells
351	GSM1505685	HNF4A	STEMCELL	hESC derived mesendodermal cells
351	GSM1505686	HNF4A	STEMCELL	hESC derived mesendodermal cells
352	GSM1505687	HNF4A	STEMCELL	hESC HUES64
353	GSM1505688	KLF5	STEMCELL	hESC derived mesendodermal cells
353	GSM1505689	KLF5	STEMCELL	hESC derived mesendodermal cells
354	GSM1505690	KLF5	STEMCELL	hESC HUES64
355	GSM1505691	LEF1	STEMCELL	hESC derived mesendodermal cells
355	GSM1505692	LEF1	STEMCELL	hESC derived mesendodermal cells
356	GSM1505693	NR5A2	STEMCELL	hESC HUES64
357	GSM1505694	NR5A2	STEMCELL	hESC derived mesendodermal cells
358	GSM1505704	OTX2	STEMCELL	hESC HUES64
358	GSM1505709	OTX2	STEMCELL	hESC HUES64
358	GSM1505711	OTX2	STEMCELL	hESC HUES64
358	GSM1505712	OTX2	STEMCELL	hESC HUES64
359	GSM1505705	OTX2	STEMCELL	hESC derived mesendodermal cells
359	GSM1505706	OTX2	STEMCELL	hESC derived mesendodermal cells
359	GSM1505708	OTX2	STEMCELL	hESC derived mesendodermal cells
359	GSM1505713	OTX2	STEMCELL	hESC derived mesendodermal cells
360	GSM1505707	OTX2	STEMCELL	hESC derived ectodermal cells
360	GSM1505710	OTX2	STEMCELL	hESC derived ectodermal cells
361	GSM1505714	PAX6	STEMCELL	hESC derived mesendodermal cells
362	GSM1505715	PAX6	STEMCELL	hESC derived ectodermal cells
363	GSM1505751	SMAD4	STEMCELL	hESC HUES64
363	GSM1505757	SMAD4	STEMCELL	hESC HUES64
364	GSM1505755	SMAD4	STEMCELL	hESC derived ectodermal cells
365	GSM1505758	SNAI2	STEMCELL	hESC HUES64
366	GSM1505759	SNAI2	STEMCELL	hESC derived mesendodermal cells
367	GSM1505760	SOX17	STEMCELL	hESC HUES64
368	GSM1505761	SOX17	STEMCELL	hESC derived mesendodermal cells
368	GSM1505762	SOX17	STEMCELL	hESC derived mesendodermal cells
368	GSM1505763	SOX17	STEMCELL	hESC derived mesendodermal cells
369	GSM1505764	SOX2	STEMCELL	hESC derived mesendodermal cells
369	GSM1505765	SOX2	STEMCELL	hESC derived mesendodermal cells
369	GSM1505767	SOX2	STEMCELL	hESC derived mesendodermal cells
370	GSM1505766	SOX2	STEMCELL	hESC HUES64
370	GSM1505768	SOX2	STEMCELL	hESC HUES64
371	GSM1505769	SP1	STEMCELL	hESC HUES64
371	GSM1505771	SP1	STEMCELL	hESC HUES64
372	GSM1505770	SP1	STEMCELL	hESC derived mesendodermal cells
373	GSM1505772	SRF	STEMCELL	hESC HUES64
373	GSM1505774	SRF	STEMCELL	hESC HUES64
373	GSM1505775	SRF	STEMCELL	hESC HUES64
374	GSM1505773	SRF	STEMCELL	hESC derived mesendodermal cells
374	GSM1505776	SRF	STEMCELL	hESC derived mesendodermal cells
374	GSM1505777	SRF	STEMCELL	hESC derived mesendodermal cells
375	GSM1505778	SRF	STEMCELL	hESC derived ectodermal cells
376	GSM1505779	STAT3	STEMCELL	hESC derived mesendodermal cells
376	GSM1505780	STAT3	STEMCELL	hESC derived mesendodermal cells
377	GSM1505781	STAT3	STEMCELL	hESC HUES64
378	GSM1505806	MYC	STEMCELL	hESC derived mesendodermal cells
378	GSM1505807	MYC	STEMCELL	hESC derived mesendodermal cells
378	GSM1505810	MYC	STEMCELL	hESC derived mesendodermal cells
379	GSM1505808	MYC	STEMCELL	hESC derived ectodermal cells
380	GSM1505809	MYC	STEMCELL	hESC HUES64
381	GSM1517537	FLI1	MUSCULOSKELETAL	SKMNC
381	GSM1517544	FLI1	MUSCULOSKELETAL	SKMNC
381	GSM1517546	FLI1	MUSCULOSKELETAL	SKMNC
381	GSM1517553	FLI1	MUSCULOSKELETAL	SKMNC
381	GSM1517555	FLI1	MUSCULOSKELETAL	SKMNC
382	GSM1517550	GABPA	MUSCULOSKELETAL	SKMNC
382	GSM1517559	GABPA	MUSCULOSKELETAL	SKMNC
383	GSM1517551	ELF1	MUSCULOSKELETAL	SKMNC
383	GSM1517560	ELF1	MUSCULOSKELETAL	SKMNC
384	GSM1517562	FLI1	MUSCULOSKELETAL	A-673
384	GSM1517569	FLI1	MUSCULOSKELETAL	A-673
384	GSM1517572	FLI1	MUSCULOSKELETAL	A-673
385	GSM1521760	OTX2	STEMCELL	hESC derived neural cells
385	GSM1521761	OTX2	STEMCELL	hESC derived neural cells
386	GSM1527836	FOXP1	PROSTATE	LNCAP
386	GSM1527837	FOXP1	PROSTATE	LNCAP
387	GSM1527839	RUNX1	PROSTATE	LNCAP
387	GSM1527840	RUNX1	PROSTATE	LNCAP
388	GSM1548071	EHF	LUNG	Calu-3
388	GSM1548072	EHF	LUNG	Calu-3
389	GSM1553235	HSF1	SKIN	451Lu
389	GSM1553236	HSF1	SKIN	451Lu
390	GSM1565011	MITF	SKIN	501A
391	GSM1003464	CTCF	BLOOD	DND-41
392	GSM1003474	CTCF	BLOOD	CD20+
393	GSM1003507	REST	BLOOD	K-562
393	GSM831015	REST	BLOOD	K-562
393	GSM803440	REST	BLOOD	K-562
394	GSM1003508	CTCF	BLOOD	Monocytes-CD14+
395	GSM1003581	CTCF	LUNG	A549
395	GSM1003582	CTCF	LUNG	A549
395	GSM822289	CTCF	LUNG	A549
395	GSM1003606	CTCF	LUNG	A549
395	GSM1022639	CTCF	LUNG	A549
395	GSM1022640	CTCF	LUNG	A549
395	GSM803453	CTCF	LUNG	A549
395	GSM803456	CTCF	LUNG	A549
396	GSM1006866	MYC	BREAST	MCF-7
396	GSM1006877	MYC	BREAST	MCF-7
396	GSM822301	MYC	BREAST	MCF-7
396	GSM822304	MYC	BREAST	MCF-7
396	GSM808754	MYC	BREAST	MCF-7
396	GSM808755	MYC	BREAST	MCF-7
397	GSM1006869	CTCF	BLOOD	GM13977
398	GSM1006870	CTCF	BLOOD	GM10266
399	GSM1006873	CTCF	BLOOD	GM20000
400	GSM1006874	CTCF	PROSTATE	LNCAP
400	GSM1006887	CTCF	PROSTATE	LNCAP
401	GSM1006875	CTCF	BREAST	MCF-7
401	GSM1006878	CTCF	BREAST	MCF-7
401	GSM822305	CTCF	BREAST	MCF-7
401	GSM822308	CTCF	BREAST	MCF-7
401	GSM822309	CTCF	BREAST	MCF-7
401	GSM1010734	CTCF	BREAST	MCF-7
401	GSM1022658	CTCF	BREAST	MCF-7
401	GSM1022663	CTCF	BREAST	MCF-7
401	GSM808752	CTCF	BREAST	MCF-7
401	GSM808753	CTCF	BREAST	MCF-7
402	GSM1006881	CTCF	PANCREAS	Pancreas
403	GSM1006882	CTCF	LUNG	Lung
404	GSM1006883	CTCF	SPLEEN	Spleen
405	GSM1006885	CTCF	BLOOD	GM13976
406	GSM1006886	CTCF	KIDNEY	Kidney
407	GSM1006891	CTCF	BLOOD	GM10248
408	GSM1006893	CTCF	BRAIN	Medullo
409	GSM624078	CTCF	CERVIX	HeLa
409	GSM733785	CTCF	CERVIX	HeLa
409	GSM822285	CTCF	CERVIX	HeLa
409	GSM749729	CTCF	CERVIX	HeLa
409	GSM749739	CTCF	CERVIX	HeLa
410	GSM624079	CTCF	VASCULAR	HUVEC
410	GSM646412	CTCF	VASCULAR	HUVEC
410	GSM646413	CTCF	VASCULAR	HUVEC
410	GSM733716	CTCF	VASCULAR	HUVEC
410	GSM822279	CTCF	VASCULAR	HUVEC
410	GSM749674	CTCF	VASCULAR	HUVEC
410	GSM749749	CTCF	VASCULAR	HUVEC
411	GSM624080	CTCF	BLOOD	K-562
411	GSM646432	CTCF	BLOOD	K-562
411	GSM646433	CTCF	BLOOD	K-562
411	GSM733719	CTCF	BLOOD	K-562
411	GSM822311	CTCF	BLOOD	K-562
411	GSM1010820	CTCF	BLOOD	K-562
411	GSM749690	CTCF	BLOOD	K-562
411	GSM749733	CTCF	BLOOD	K-562
411	GSM803401	CTCF	BLOOD	K-562
411	GSM935407	CTCF	BLOOD	K-562
412	GSM624081	CTCF	SKIN	NHEK
413	GSM646353	CTCF	LIVER	Hep G2
413	GSM646354	CTCF	LIVER	Hep G2
413	GSM733645	CTCF	LIVER	Hep G2
413	GSM822287	CTCF	LIVER	Hep G2
413	GSM748538	CTCF	LIVER	Hep G2
413	GSM748539	CTCF	LIVER	Hep G2
413	GSM749683	CTCF	LIVER	Hep G2
413	GSM749715	CTCF	LIVER	Hep G2
413	GSM803486	CTCF	LIVER	Hep G2
414	GSM646372	CTCF	BREAST	HMEC
414	GSM646373	CTCF	BREAST	HMEC
414	GSM733724	CTCF	BREAST	HMEC
